villages,lat,lng
Diegoune,12.8373481,-16.362568
Ndiedieng,14.019646,-16.0640179
Bellokho hann,14.69789,-17.4369451
Wardiakhal,14.128458,-15.7439194
Darou  ndawene,16.0282465,-16.4832893
Thiafaly,14.8120373,-16.9373361
Gorom 3,14.7894438,-17.1791366
Taofekh,14.6565611,-16.2315917
Bounfassow,14.722741,-17.258266
Ndendory,15.3409,-13.0468
Djilor,14.0566349,-16.3353419
Sagatta gueth,15.2820089,-16.1713267
Mbowene,13.8986,-16.2833
Dimboli,12.4715398,-11.9982004
NDIETTE,14.6286613,-16.2945562
Khatete,15.6126361,-13.2300874
Bantankiling Soucouta,13.995527,-15.719152
Diagnoum,16.5165,-15.1425
Pambal,14.968629,-16.89579
Thiathiaw kaba keur ndiawrigne,14.908855,-15.771968
Ndiol Maure,14.284784,-16.696894
Béléle,14.7498382,-17.4714214
Mbeye,15.380245,-15.25965
Nguetou malick,14.128458,-15.7439194
Mayor,14.7145281,-17.2723371
Mboudaye,14.47376,-16.620935
Djibelor,12.552757,-16.322291
SAME goumak,13.8909974,-16.0202031
Daga balla,13.948051,-15.607976
Koylal Alpha,45.5154553,-73.5623129
Sass,28.3771857,-81.57074
Kandialon,47.85058919999999,-122.2865561
Dioly mbandakhe,0.0265717,18.2970692
Nioro alassane tall,13.7776949,-16.3390209
Thiolom diand,15.6141768,-16.22868
Badiary,14.497401,-14.452362
Mbamane,14.3337037,-15.3306814
Djiredji,12.6187,-15.7714
Gainage Mbar,14.5398422,-15.7556564
Ndioumene,16.5101114,-14.6500371
Ngueye Ngueye,15.278264,-16.451439
Djibanar,12.5446763,-15.8084823
Niaga,14.8092631,-17.2518631
Keur Sophie,14.908855,-15.771968
NGUINTH MATAT,14.8072868,-16.925531
Nianao,12.715597,-14.167063
Manconomba,14.7561322,-17.4567048
Gabou,14.71642,-12.4122682
Missirah Demba Sadio,13.68042,-16.50128
Sanoufili,14.693436,-17.459282
AFE Diop Niang,14.699949,-17.453964
Danthiady,15.5261,-13.3977
Mbarocounda,13.7725888,-13.6710059
Djilakh,14.517302,-16.887051
Baity dakhar,14.9564939,-16.8171216
Ndombolokh,14.604585,-16.715111
Diabète  tallene,47.65401360000001,-122.311748
Keur medoune mbaye,15.685801,-16.053413
Mbalamsone,14.4583336,-16.8650395
Badiangara Moussa,14.3489479,-3.609117
DJIGUAL,13.8487435,-16.0552006
Pampi,15.317304,-15.52034
Kaguitte,12.401911,-16.403189
SARE PATHE DIALLO,38.6487895,-90.31079620000001
Camara,14.7448212,-17.5125165
Sedo sebbe,15.7742542,-13.4540669
Bokh,14.7567,-16.6107
Gande,15.576545,-15.8363687
Bondie,14.416667,-15.583333
KASSAS,13.887958,-15.67593
Sine Leye kane,14.832029,-15.885219
Kafoul,14.7561322,-17.4567048
Thieumb,34.0297244,-118.4695672
Diatmel moussa,14.416817,-15.759429
Ngayene thiébou,13.6846456,-15.490293
Dakately,12.4664,-12.6511
Mobaya,14.7561322,-17.4567048
Rao gare,15.922639,-16.3964218
NDARAP,14.7902349,-17.2429976
Kaba,14.7443828,-16.6143944
Inna,47.85058919999999,-122.2865561
Ndoudiour,32.7825718,-96.76618889999999
Ndiayéne Pendao,16.5002095,-15.0455132
Mbodienne,14.2304389,-16.8679899
Darou gaye,15.012194,-16.592772
Riade,24.7135517,46.6752957
Velingara Maure,13.1440754,-14.1059408
Ndande,15.2768199,-16.5260001
Sibidianto,12.699425,-15.304121
THIOUBALEL,16.2700829,-13.9854708
Niangalan,16.2248747,-15.6881788
Diankancounda,33.6748012,-117.8752922
Ndirene,14.7912692,-17.1141145
Médina Sabakh,13.6001563,-15.5811465
Lesfalo,15.6126361,-13.2300874
Eguilaye,12.879056,-16.2838
Douba,14.8665572,-15.8994956
Ndiossi,15.3678939,-15.5342485
Hamdallaye,14.192155,-12.228227
Mbene Diouma,14.8349101,-15.9007005
Niague,14.8092631,-17.2518631
Rao Gare,15.922639,-16.3964218
Niagnar,16.593767,-14.99098
St Double Sylla,14.7354543,-17.4248027
NDIOKHOBA,15.771223,-16.420372
Samba doguelle,15.270038,-14.05063
1,14.497401,-14.452362
Keur  Ibrahima,40.6781264,-73.9852363
Mbindo,45.5125995,-73.56059549999999
Djiragone,12.945,-15.9014
Marina   ndiaye,40.7794366,-73.963244
Satte,40.7982133,-77.8599084
Camberene,14.7716841,-17.4218702
Tatene mbambara,14.675627,-16.888346
Tendouck,12.722221,-16.45365
Diakhaba,14.4630791,-16.2904635
Médina boudialabou,14.6821999,-17.450951
Keur yoro khodia,13.734559,-16.022245
MERINA  SALL,15.0123286,-16.7323097
Baghagha,12.60332,-16.0566701
Thiankoye,13.995527,-15.719152
Elinkine,12.5072598,-16.6630268
Karantaba,12.7781159,-15.4697841
Bantanghedji djida,40.7379656,-73.9760519
Faoye,14.227195,-16.577591
Sagatta  gueth,15.2820089,-16.1713267
Yabtil Diop,15.048035,-16.44187
Patouki,14.696982,-12.821154
2,14.7309898,-17.4682077
Talibâdji ouolof,14.316667,-13.033333
H1 Rao croisement,15.922639,-16.3964218
Nguedj Diop,14.0731738,-16.6934134
Ndienne,38.9054458,-77.04954719999999
Doubirou,13.183333,-14.233333
Sare ngaye,13.937936,-14.027045
Saradou,13.606067,-14.186516
NDIAKHATE GATEGNE,15.58681,-16.073109
Keur Pathe,15.831861,-16.332998
Seno Palel,16.793492,13.8100324
Dayane Gassel,14.433333,-15.816667
Saraba,14.6981132,-17.4605864
Nétéré pakane,12.912297,-13.96574
Saré Bouka,13.1440754,-14.1059408
Médina Boudialabou,14.6821999,-17.450951
LAGNAR BOU MAG,14.666424,-16.332558
Diama thiene,15.055022,-16.68219
Mbar,14.5398422,-15.7556564
Djibabouya,12.7924409,-15.9685189
Methe,14.497401,-14.452362
Ngouye thiandigue,14.36715,-16.441645
Kamacounda,13.7725888,-13.6710059
Same Fall,39.4491633,-91.0466417
Bourofaye Bainouck,12.510241,-16.27865
Mbissis dia seck,14.7389806,-17.4610313
Tattaguine,14.4250062,-16.6070268
Leba,13.526976,-15.162059
Marsassoume Santo,12.836481,-15.9773322
Rao peulh  h1 rao,15.922639,-16.3964218
Gade panghar,14.90545,-16.3518009
Loumby sabsabre,-8.783195,34.508523
Macko,12.8481657,-12.3549785
Keur   Ndery,14.908855,-15.771968
Ronkh,16.2774313,-16.1389809
Fanda,12.575849,-16.1419212
Arafa,14.066667,-15.1
Santhie goudaguene,15.0285048,-16.9011849
Diabal,14.78511,-12.46404
Mbrouvaille,14.8188776,-16.8650395
Mande kouta 1,14.283333,-16.133333
Sinthiou garba,15.5105914,-13.2606265
Thiathiaw,14.7860646,-16.9357918
THIENGUE,33.6474801,-96.5979639
Sab ka,15.247223,-16.616926
Ndoye diagne,14.6685893,-17.4329045
Darou Back,39.1623946,-84.54001339999999
Yadiana,38.8037704,-77.06238069999999
Silane,14.7361419,-16.4435885
Mississ dia,33.4551742,-88.79437659999999
Yetty khaye,15.09967,-16.229696
Ibel,12.5128679,-12.381681
siwal,40.8075355,-73.9625727
Colobane,14.6734519,-17.4632496
Ndéménelé,13.833333,-15.766667
Boulel Mody,14.2849198,-15.5342485
Mabo,13.9137639,-15.6676471
Agnack petit,12.5683796,-16.1219048
Missira diakhaly sinthiou oumar,40.7794366,-73.963244
Mbiteyene    Momath,40.7434842,-73.98722219999999
Afia Bacari,42.701848,-84.4821719
Diao  counda,13.995527,-15.719152
Seokhaye,14.7644427,-16.7292109
Ndimb thioub,14.7747141,-17.267343
Tambacoumba,13.7725888,-13.6710059
Médina degouye,14.6821999,-17.450951
Aloudia,39.6952629,3.0175712
Thiacalar,14.270251,-15.9406128
Darou salam typ,14.692671,-15.927506
Mbayene,15.17734,-16.304724
KALIR,33.5772191,-101.9347655
Bantankiling Waly,13.995527,-15.719152
Tendaba kindakam,13.43873,-15.8073816
Kadji,15.4603765,-15.0579333
Sare Mbana,13.8522276,-15.876004
Gouye,14.993048,-17.005227
Agnack grand,12.571675,-16.104181
PATHE GALLO,16.6177,-14.4535
Belly djimbara,12.8845055,-3.1428341
Ndianda,14.222893,-16.8182009
Malem   thierigne,41.0054744,-73.905759
Sinthiou samba deme,15.3688083,-13.1365521
Keur  tagiouthe,14.908855,-15.771968
Darou Tandine,13.0517,-16.5621
Nemadiaour,16.593767,-14.99098
Bountou Back,14.2166302,-12.2132778
Mansadala,13.7725888,-13.6710059
Afia bacary el hadji,38.6487895,-90.31079620000001
Diyabougou,14.543105,-12.2186229
Afia bacary demba,14.7107147,-17.4584434
T'ouba mandingue,14.772693,-15.977585
Leona,16.0168242,-16.4928616
Ndiebel,14.3467,-16.1555
Touba mbayar,14.8665572,-15.8994956
Touba Aly Mbenda,14.8665572,-15.8994956
Patar banane,14.566667,-16.383333
Thionokh sangue,14.699306,-16.959566
Keur mandongo,13.8487435,-16.0552006
Diass,14.6373423,-17.0879032
Sare Sancoule,12.898393,-15.005666
Thiangaye,16.527538,-15.171287
Diagle,16.202299,-15.69064
Pelour,15.844095,-16.4348579
BAITY  DAKHAR,14.9564939,-16.8171216
Niahene,14.0237471,-15.1873049
Keur mbin mody diouf,14.908855,-15.771968
ngaba,32.902459,101.706655
Colobane soumbel,14.6734519,-17.4632496
Kathiotte,14.0996869,-15.5558492
Fass ferlo,15.0628317,-16.1448615
Nyassia,12.471154,-16.372509
Kenewal,38.9054458,-77.04954719999999
Agnack Petit,12.5683796,-16.1219048
Belele,30.2416954,-92.0247553
TALLAKH,39.659811,-104.963834
Keur yoro soumbou,14.6054707,-17.1510315
Dayane gaselle,39.21679700000001,-84.4732485
Boukoutigho,-8.783195,34.508523
Keur nderry,14.908855,-15.771968
Gassane  Ndawene,14.8206267,-15.2926308
Darou salam,15.020773,-15.902403
Sambangar,13.995527,-15.719152
Dangalma,14.7252639,-16.5672462
Thiakho   madiale,14.0242311,-15.8391108
Sans hier gargnone,38.8985658,-77.04428419999999
Mbayene diack,15.17734,-16.304724
Nenefecha,12.5604607,-12.1747077
Gaina Mbar,14.697239,-15.646563
Keur Séyni,14.908855,-15.771968
Taiba niassene,13.7614,-15.9083
darou minam,14.093,-15.417
Sindone,12.601,-16.077164
Fongolimbi,12.4244545,-12.0061503
Boukhou,14.67544,-17.1168835
Ndiassam,14.6373423,-17.0879032
Sare Lally,40.7794366,-73.963244
Ndioral Diambaye,14.8023331,-16.5363109
Wack ngouna,13.7584764,-16.0610787
Kagnarou,12.927011,-16.226143
Poitiers,46.5793883,0.3399563
Tallen,13.5791132,-16.1750027
Ngar de  Gueth  Ardo,15.4103452,-16.0860628
Bamba mamadou,13.876145,-15.224626
Wandé,40.6413111,-73.77813909999999
Bamba thialene,13.8,-14.6167
Ndereppe,40.8075355,-73.9625727
Oudoucar,14.714411,-17.153614
NDANKH SENE,14.776901,-16.2051484
Boudy sakho,15.7944,-15.9384
Sinthiou bal,15.3688083,-13.1365521
Baline,12.92281,-16.461386
Ourour ndiodo,14.2909352,-16.0385268
Ndimb   Korki,14.870318,-16.251078
Koungheulsoce,13.9802139,-14.8016887
6,14.7291277,-17.4688662
Guarigne,14.4774056,-17.035489
Keur ayib ka,13.5958515,-15.6046002
Thiakho   thiofior,14.7498382,-17.4714214
Agniack,12.571675,-16.104181
Mboudaye    Serere,14.47376,-16.620935
Baïla ndour,12.896587,-16.3531645
Hamdallaye tessan,14.192155,-12.228227
Ndoffane,13.919217,-15.9259271
Darou Matar,16.0282465,-16.4832893
Ndindy,14.8943707,-16.2036778
Thionokh sanghe,14.699306,-16.959566
Cabrousse mossor,12.3505299,-16.716631
Gawane,14.85,-16.3667
Tivaouane peulh,14.8056993,-17.2799392
Kandioukou,13.075033,-15.61002
Koussanar Escale,13.8679162,-14.0827096
Ngodiba,14.063682,-15.50701
Khaoulou,14.604585,-16.715111
Keur Ndiouga,14.908855,-15.771968
Sare boure ramatoulaye,43.312739,-1.580979
Sagatta,15.2820089,-16.1713267
Kanel,15.4884265,-13.1754767
Médina kocoum,14.6821999,-17.450951
Koundioundou,14.7547111,-17.4736087
Diamgueune ndiaye,14.7483711,-17.3613551
Santhie gualgnonie,15.0285048,-16.9011849
Sare  mougna,34.068921,-118.4451811
Niassene Manding,16.0084589,-16.165018
Diagla,16.202299,-15.69064
Poundioum,15.933752,-16.395218
Niagha,14.8092631,-17.2518631
Mindo,44.97399,-93.2277285
Mbekhelul,40.7982133,-77.8599084
Petel Diéguess,16.5311999,-14.79267
DIAGNON,12.583333,-15.966667
Horndoldé,15.4820724,-12.969461
Poultock,14.418073,-16.695753
Thiagar,16.0326307,-16.4818167
Dnianoye,16.593767,-14.99098
Warang,14.3699709,-16.9376239
Gassane Ndawene,14.8206267,-15.2926308
Senghalène,12.4957879,-16.544348
Epingue,13.995527,-15.719152
Koudioundou,12.4693092,-16.7809682
Kanene kane,15.408636,-16.493486
Sinthiang Talong,37.4893706,-122.223814
Diagongue,14.497401,-14.452362
Thiola,14.7614374,-17.3988131
Ngadiaga,14.229619,-15.16475
Taiba,13.765256,-15.906284
Kassack  sud,16.3791,-15.9972
Gaye paradji,14.2,-13.3
Sab sabre loumby,14.471748,-14.982339
Sare  Guido  Yoba,12.766667,-14.666667
Lagarde boulou mag,42.5309387,2.8400874
Sare boure  ramatoulaye,43.312739,-1.580979
Nguick fall,15.82137,-16.181021
Kelle gueye travaux,14.7343475,-17.4175733
Barafoute,12.664984,-12.302877
MÉDINA BOCAR SY,14.6821999,-17.450951
Ngap,15.330343,-15.515643
Golmy,14.8229403,-12.3503648
Ting ting kom,33.4662902,-88.80783520000001
Petel Dieguess,16.2211253,-14.4723301
THIENDIENG,14.664357,-17.4371223
Ndiorene,14.222893,-16.8182009
Ndiaye Counda,13.924327,-15.448592
Darou Ndiaye,15.0,-16.416667
Mbambilor,14.79959,-17.183611
Labgar,45.5056156,-73.61375919999999
Thiekene,15.703671,-15.841482
Balakonko,13.5619011,-13.1740348
Gorom2,14.822827,-17.153837
Médina  El Hadji  Cherif,14.694184,-17.4681437
Djivente,14.6735588,-17.4430618
Diagnri,14.6708543,-17.0673475
Ndimb Birane,14.870318,-16.251078
Médina sy,14.08844,-15.29466
Bourofaye bainouck,12.510241,-16.27865
Ndiette,14.6286613,-16.2945562
Samba ndiaye,38.8985658,-77.04428419999999
Mbambey,14.6965115,-16.458256
Ndame,14.7731363,-15.8976012
Thioffior,14.0015581,-16.1851486
Sare sidi,45.1914227,5.7672721
Khaye barka,15.161233,-16.356844
Sandiniery,14.6704706,-17.4353571
Nétéré Pakane,12.912297,-13.96574
THIOLOME  NDIANDE,14.5916821,-16.2520438
Kheinde,40.750568,-73.993519
SARE BITEYE,12.9178856,-15.0082584
Nabadji civol,15.7380034,-13.3905003
BAL  DIOP,42.3770029,-71.11666009999999
Sinthiou  boubou,14.275801,-12.806194
Kameubeul,12.3688439,-16.7263872
Ghamoune,14.497401,-14.452362
Daga Saer,14.633333,-17.133333
Touba ndiene,14.916795,-15.9448019
Diamagueune,14.7856199,-16.9137265
Barkael,14.9026699,-12.4638538
Ouro sidy,15.416667,-13.183333
Xyz,43.1790876,-76.235293
Kamadou,14.561622,-15.892213
Velingara woulou,13.1440754,-14.1059408
Bode,16.444578,-14.351195
Dator,13.313899,-15.685545
Gueli,15.460934,-15.836341
Thisse kayemor,13.7712901,-15.5868611
Thiamene walo,13.765256,-15.906284
Khodaba,14.7685721,-17.0930714
Bakou,40.40926169999999,49.8670924
Badioula,13.995527,-15.719152
Keur Modou ndiamatou,15.661027,-16.036133
Thiaméne Walo,15.4789999,-15.8671954
Sare Sama,13.282822,-15.303216
Medina sy,14.08844,-15.29466
Sorokhassap,14.5373151,-17.0639247
Soumboundou,12.823187,-15.387097
Diaguiry,14.664357,-17.4371223
Belle,14.7184079,-17.4719161
Thiaothiao,15.447002,-16.734308
Kéracounda,12.834798,-15.349888
Goundiourou,11.648761,-11.826706
Baïty,14.4228422,-16.9653756
Darsalam,12.496346,-16.340719
Sinthiou Wouro,15.3688083,-13.1365521
Kathiote,13.9333,-15.4
Ndemenene,14.546931,-16.020405
Veligara ourouby,13.1440754,-14.1059408
TAMBANABA,13.7725888,-13.6710059
Nayobe gaye,15.651014,-16.050118
Gallade,15.084,-12.63
Sine,15.1802873,-16.744842
Fass ndiayene,41.4587113,-81.5645969
Padalal,15.343811,-12.936265
Thiakho Madiale,14.0242311,-15.8391108
Niassya,12.471154,-16.372509
Demizine,15.6126361,-13.2300874
Saremamadou,12.995899,-15.161333
Mlomp Djicomol,12.5510435,-16.5919031
Pathieme,14.8198414,-15.8952819
Kewre,14.9349165,-16.5409596
Gap (keur dieumb dia),14.908855,-15.771968
Velingara maure,13.1440754,-14.1059408
Sao Soucouta,13.7870492,-16.4779739
Darou  gaye,15.012194,-16.592772
Missirah diakhaly,13.68042,-16.50128
Keur Aly gueye,45.5188546,-73.56698449999999
Afia Thiabecare,13.233333,-13.7
Mabo   Keur   Babou    Seck,13.9137639,-15.6676471
NdiebeneToube,13.992552,-15.475546
Botou,13.8046184,-13.5798477
Belal djiga,39.9566127,-75.18994409999999
Toulde kahe,16.416667,-14.116667
THIENEL SAKHOBE,16.2248747,-15.6881788
Mangera,14.7082093,-17.4714518
Nemabah,13.7372,-16.4815
Vélin gara  nguenth,38.9531162,-77.45653879999999
Ndioum Ngainth,16.5101114,-14.6500371
Wilanene,13.3147492,-14.2123581
Fanaye,16.5258829,-15.2224062
Khourou  mbacke,14.7551751,-16.0820203
Taiba Niassene,13.7614,-15.9083
Kassack   sud,16.3791,-15.9972
Médina koily,14.6821999,-17.450951
Bembou,12.8252941,-11.8749152
Teup dall,32.8998091,-97.0403352
Diout ngeul,14.7386755,-17.5138456
Boeuf  dieng,14.7272278,-17.502421
Dendiely,14.497401,-14.452362
Ndiatta,14.7499152,-17.3881991
SINTHIANG,15.51037,-13.263462
PATAR,14.703772,-16.156868
Willa will,40.6851273,-73.9734987
Médinatou  salam,14.4431751,-16.9565206
NGUENTHE MATAR,40.3430942,-74.65507389999999
Touba fall,14.8665572,-15.8994956
Diockoul,15.3745907,-16.5164262
Saroudia,12.51317,-11.57785
Ndiambour,14.6674174,-17.4395282
Thicogne,14.7561322,-17.4567048
Bodiene,14.2304389,-16.8679899
Diaké marame,14.10683,-15.767146
Galayabe,15.520692,-13.3314109
Thiempeng,15.5833,-13.1333
Sinthiang Madia,38.9277072,-94.5672342
Keur Mady Yacine,46.78174629999999,-71.2747424
Touba niane,14.9052887,-15.8877171
Sinthiou Maleme,13.7725888,-13.6710059
Khaye ga,15.007969,-16.196804
Gassane,14.8206267,-15.2926308
Gasse doro,15.3,-14.05
Sare Maoudo Dandio,14.7561322,-17.4567048
MBEURLEUP,15.0482502,-16.8178377
Galoyabe,16.0717776,-13.8549591
KANDJI,14.6695101,-17.437713
Mback,14.8038531,-15.9053689
Gaye paradji 2,14.2,-13.3
Keur sountou,13.691138,-15.775662
Keur sarokhy,14.908855,-15.771968
Ethiolo,12.589336,-12.856031
NGUETH,46.7489604,-71.3417802
Koussawor,28.0587031,-82.41385389999999
Diao counda,13.995527,-15.719152
Ngar de Gueth Ardo,15.4103452,-16.0860628
Sakhao sérére,14.3538286,-16.4405872
TOUBA LAPPE,14.8665572,-15.8994956
Ndiakhate gatteigne,14.497401,-14.452362
Keur lahine sakho,14.908855,-15.771968
Bélél Diawlé,16.029159,-16.5038288
Keur bara feudy,13.815518,-14.991533
Mboyo,16.639572,-14.801177
Darou Diop,15.05,-16.116667
Médina mandah,13.894185,-15.407753
Falokh,14.4228422,-16.9653756
Mbobene,14.3337037,-15.3306814
Farabato,13.995527,-15.719152
Keur me Doune ndiaye,15.685801,-16.053413
Darou pakala,14.007478,-15.558228
Diagaly,33.9517376,-84.24043069999999
Sam Sam - Santhiaba Ouoloff,12.518889,-16.639299
Mbissis dia,13.995527,-15.719152
Darou  salam typ,14.692671,-15.927506
Keur omar gagué,14.874167,-16.303368
NGODIBA,14.063682,-15.50701
Darou Diene,15.0430419,-16.0463837
Tiguette,16.2774911,-16.1389579
Dioumada,14.7561322,-17.4567048
Keur  nderry,14.908855,-15.771968
Niagal,14.8092631,-17.2518631
Risso,15.0923732,-16.6357618
Ngayene,13.6928389,-15.5341249
AÉRÉ   POSTE,16.451,-14.319
Edioungou,12.5109904,-16.5819789
Boucotte ouoloff,12.4200575,-16.7500025
Nimeneké,14.0237471,-15.1873049
Diarigne,14.6708543,-17.0673475
Dankh sene,14.8324,-16.149
Kabdou,15.317054,-16.065407
Keur omar sabaly,14.908855,-15.771968
Guereo,14.5243797,-17.0938097
Kafountine,12.9283363,-16.7411559
Thisse,14.7910052,-16.9358604
Nododje,16.593767,-14.99098
Wassadou,12.7492732,-14.1596776
Diabougou,14.543105,-12.2186229
Keur Ali samba,13.680992,-15.878883
T ivaoune peulh,14.8056993,-17.2799392
Keur  Magaye,15.010633,-16.81723
Sinthiang male,15.51037,-13.263462
Ndiandiaye,13.959304,-16.348358
Keur moussa seny,14.7802142,-17.1159605
Ndiene lagane,14.5111561,-15.9259271
Guediane,14.453152,-16.723871
Gabou bilobode,14.772693,-15.977585
Ngary,41.6020403,-87.3371523
3,14.7152558,-17.4666971
Thiakho    Thiofior,14.7498382,-17.4714214
SITABA,12.8361941,-15.5254565
THIEDIENG,33.9937575,-81.0299186
Touba ndawene,14.8768468,-15.9026409
Keur samba gueye,13.943329,-16.014255
Gae,16.578735,-15.450624
Ngothie,14.2355279,-16.2122225
GOLY,16.0062771,-13.6912718
Aliou Samba,14.6964336,-16.4768577
Ndere Mbaye,14.753727,-17.4521585
Wack Ngouna,13.7584764,-16.0610787
Thiare,13.89734,-15.77906
Mbembeme,40.8075355,-73.9625727
Ndiakhaye,15.502563,-15.227509
Keur  medoune ndiaye  b,42.3770029,-71.11666009999999
Dialaka,14.6019512,-17.1469751
Bransan,13.2616023,-12.1089679
Nguithie thiandigué,12.8997479,-14.9359544
MÉDINA FRANCE,14.6821999,-17.450951
Ndiayene Momath,14.819376,-16.445772
Diamaguene,14.7856199,-16.9137265
Mbeuleup,14.105202,-15.5415755
Coubalan,12.6635421,-16.1735323
Ngar keur naimbelly,41.4543199,-72.99626409999999
Malem  thierigne,41.0054744,-73.905759
Simbandi  balante,12.550635,-15.740963
Bandoulou toucouleur,14.406261,-16.9595905
Sare walome,14.122704,-12.7248629
Kaba diack,14.7443828,-16.6143944
Boulome,12.7538925,-16.2522143
Mbeurleup,15.0482502,-16.8178377
Médina ndiobene,14.176162,-15.35799
Keur  medoune ndiaye,15.685801,-16.053413
Diandioly,15.1696104,-13.7289167
Darou ndiawene,16.0282465,-16.4832893
Bambaraya,13.116667,-12.083333
Thiakh,14.908855,-15.771968
Ndialigue,14.95,-16.383333
Gorom3,14.822827,-17.153837
Diokoul ndionguene,14.730208,-16.645218
Thione,47.62191259999999,-122.3516787
Ndarapp,14.7902349,-17.2429976
Barkedie,36.1069258,-112.1129484
Kamobeul,12.500068,-16.4352379
Sinthiang Samba Coulibali,14.7232818,-17.4787136
Keracounda,12.834798,-15.349888
Selety,13.1437357,-16.577559
Djilahogué,12.6721589,-16.0904721
Mbayene  diack,15.17734,-16.304724
Belel Diawlé,16.029159,-16.5038288
Mbardiack,14.7860646,-16.9357918
Ndiendieng,14.1652083,-16.0757749
Ekess,12.5593109,-12.870689
Lamin,41.3163244,-72.92234309999999
Rao peulh,15.922639,-16.3964218
Ngoye Djolof,14.7808978,-16.9294327
Sedo,15.774876,-13.4670731
Sendebou,14.67231,-17.20784
